                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 2.4411,                 2.2887,                  2.347,                0.40916,                0.40685,                0.31634,                0.11812,                 2.9692,                 2.9327,                 2.5579,             0.00088494,             0.00088494,             0.00088494
                     61,                 2.4306,                 2.1566,                 2.2383,                0.26105,                0.44471,                0.26138,                0.10351,                 2.8762,                 3.5607,                 2.4539,             0.00087875,             0.00087875,             0.00087875
                     62,                  2.385,                 2.1938,                 2.3093,                0.40851,                0.34339,                0.31986,                0.11807,                 2.8115,                 2.7548,                 2.4848,             0.00087256,             0.00087256,             0.00087256
                     63,                 2.4287,                 2.2717,                 2.2995,                0.59925,                   0.25,                0.32078,                0.14148,                 2.4817,                  2.372,                 2.3554,             0.00086637,             0.00086637,             0.00086637
                     64,                 2.5137,                 2.2602,                 2.3765,                0.62449,                0.22917,                 0.3007,                 0.1513,                 2.5259,                 2.2287,                 2.3771,             0.00086019,             0.00086019,             0.00086019
                     65,                 2.3908,                 2.1192,                  2.299,                 0.2803,                 0.3125,                0.26104,                0.11136,                 2.6854,                 2.4511,                 2.3955,               0.000854,               0.000854,               0.000854
                     66,                 2.4018,                  2.093,                 2.2132,                0.67165,                0.27083,                0.28055,                0.11047,                 2.6638,                 2.2681,                   2.41,             0.00084781,             0.00084781,             0.00084781
                     67,                 2.3102,                  2.068,                 2.1847,                0.21357,                0.37014,                0.27504,                0.13493,                 2.4926,                 2.0656,                 2.4126,             0.00084162,             0.00084162,             0.00084162
                     68,                 2.2917,                 2.0222,                 2.2033,                0.43301,                0.45833,                 0.4142,                0.20708,                 2.4207,                 1.9063,                 2.4197,             0.00083544,             0.00083544,             0.00083544
                     69,                  2.299,                 2.0108,                 2.2197,                0.47228,                0.45833,                0.44695,                0.20534,                   2.48,                 1.9288,                 2.4216,             0.00082925,             0.00082925,             0.00082925
                     70,                 2.3156,                 2.0593,                 2.2159,                0.34463,                 0.4857,                0.40283,                0.20791,                 2.3849,                 1.9516,                 2.3102,             0.00082306,             0.00082306,             0.00082306
                     71,                 2.2285,                 2.0278,                 2.1941,                0.43615,                0.57667,                0.45933,                0.21685,                 2.3633,                 1.8391,                 2.2705,             0.00081688,             0.00081688,             0.00081688
                     72,                  2.242,                 2.0057,                 2.1846,                  0.409,                0.52364,                 0.4709,                0.20684,                 2.3455,                 1.7577,                 2.2935,             0.00081069,             0.00081069,             0.00081069
                     73,                  2.108,                  1.899,                 2.1758,                0.48757,                0.52083,                0.50728,                0.22721,                 2.3539,                 1.7284,                 2.2532,              0.0008045,              0.0008045,              0.0008045
                     74,                 2.1749,                 2.0037,                 2.1669,                0.47221,                0.48104,                0.49535,                0.21424,                 2.2925,                 1.7306,                  2.266,             0.00079831,             0.00079831,             0.00079831
                     75,                  2.124,                 1.8999,                 2.1383,                  0.712,                0.50056,                0.54628,                0.22893,                 2.3361,                 2.0035,                 2.2119,             0.00079213,             0.00079213,             0.00079213
                     76,                 2.1309,                 1.9251,                 2.1221,                0.65979,                0.45833,                0.54882,                0.25307,                 2.2977,                   2.26,                 2.1715,             0.00078594,             0.00078594,             0.00078594
                     77,                 2.0417,                 1.8905,                 2.0811,                0.56166,                0.39681,                0.49744,                0.23244,                 2.2617,                 1.9535,                 2.2112,             0.00077975,             0.00077975,             0.00077975
                     78,                 2.1395,                 1.8665,                 2.1084,                0.34771,                0.44522,                0.45272,                0.23326,                 2.2737,                 1.8621,                 2.1906,             0.00077356,             0.00077356,             0.00077356
                     79,                 2.1106,                 1.8366,                 2.0955,                0.40738,                0.47853,                 0.4714,                 0.2292,                 2.3179,                 1.9944,                 2.2792,             0.00076738,             0.00076738,             0.00076738
                     80,                 2.1303,                 1.8675,                 2.1224,                0.49901,                    0.5,                0.54494,                0.26395,                 2.2248,                 1.7597,                  2.194,             0.00076119,             0.00076119,             0.00076119
                     81,                 2.0682,                 1.7493,                  2.061,                0.74746,                0.38999,                0.50926,                 0.2845,                 2.1916,                 1.7025,                 2.1597,               0.000755,               0.000755,               0.000755
                     82,                 2.1203,                 1.7844,                 2.0879,                0.70972,                0.38735,                0.47126,                0.25718,                 2.1994,                 1.8041,                 2.2019,             0.00074881,             0.00074881,             0.00074881
                     83,                 1.9962,                  1.776,                  2.074,                0.67458,                0.39583,                0.46754,                0.20434,                 2.3808,                 1.9406,                 2.2461,             0.00074263,             0.00074263,             0.00074263
                     84,                 2.1224,                 1.7088,                 2.1054,                0.73076,                0.46447,                0.58696,                0.24396,                 2.3713,                 1.7779,                 2.2058,             0.00073644,             0.00073644,             0.00073644
                     85,                 2.0014,                 1.6595,                 2.0188,                0.44801,                 0.6875,                0.60892,                0.29565,                 2.1869,                 1.6602,                 2.1351,             0.00073025,             0.00073025,             0.00073025
                     86,                 2.1003,                 1.7634,                 2.0962,                0.47385,                0.70833,                0.62568,                0.32099,                 2.0871,                 1.7576,                    2.1,             0.00072406,             0.00072406,             0.00072406
                     87,                 1.9756,                 1.6751,                 2.0374,                 0.4998,                0.71908,                0.65762,                0.29716,                 2.2071,                  1.752,                 2.1319,             0.00071788,             0.00071788,             0.00071788
                     88,                 2.0137,                 1.7057,                  2.004,                0.59417,                0.66536,                0.68509,                0.30532,                  2.263,                 1.5986,                 2.1796,             0.00071169,             0.00071169,             0.00071169
                     89,                  1.952,                  1.649,                 1.9983,                0.79428,                0.60867,                0.68428,                0.32424,                 2.1084,                 1.5671,                 2.1081,              0.0007055,              0.0007055,              0.0007055
                     90,                 2.0121,                 1.6447,                 2.0484,                0.63735,                0.77799,                0.69315,                 0.3139,                 2.1475,                 1.7189,                 2.0691,             0.00069931,             0.00069931,             0.00069931
                     91,                 1.8923,                 1.6537,                 1.9534,                0.58382,                0.60757,                0.66175,                0.29257,                 2.1302,                 1.7796,                 2.0821,             0.00069313,             0.00069313,             0.00069313
                     92,                 1.9176,                 1.6249,                 1.9526,                0.60816,                0.53516,                0.61309,                0.27274,                 2.1028,                  1.715,                 2.0709,             0.00068694,             0.00068694,             0.00068694
                     93,                 1.8683,                 1.6081,                 1.9339,                 0.6247,                0.58268,                0.65876,                0.33693,                 1.9746,                  1.749,                 2.0049,             0.00068075,             0.00068075,             0.00068075
                     94,                 1.9109,                 1.5598,                 2.0011,                0.51289,                  0.625,                0.60902,                0.28654,                 2.0295,                 1.8493,                 2.0796,             0.00067456,             0.00067456,             0.00067456
                     95,                 1.8572,                 1.5442,                 1.9224,                0.57739,                0.56676,                0.64737,                0.27771,                 2.1017,                 1.7394,                 2.0781,             0.00066838,             0.00066838,             0.00066838
                     96,                 1.8957,                 1.6517,                 1.9639,                0.91711,                  0.429,                0.67493,                0.31541,                 2.0097,                 1.5649,                 2.0581,             0.00066219,             0.00066219,             0.00066219
                     97,                  1.875,                 1.5941,                 1.9301,                0.64627,                0.59556,                0.64178,                0.31661,                 1.9244,                 1.5679,                 2.0154,               0.000656,               0.000656,               0.000656
                     98,                 1.8451,                 1.5451,                  1.886,                0.57956,                 0.7257,                0.66747,                0.33961,                 1.9959,                 1.6197,                 1.9782,             0.00064981,             0.00064981,             0.00064981
                     99,                 1.9059,                 1.5552,                 1.9106,                0.68823,                0.66504,                0.68796,                0.34834,                 2.0011,                 1.6715,                  2.001,             0.00064362,             0.00064362,             0.00064362
                    100,                 1.7887,                  1.511,                 1.8929,                0.53976,                0.67823,                0.67648,                0.38025,                  1.849,                 1.3907,                 1.9749,             0.00063744,             0.00063744,             0.00063744
                    101,                 1.7535,                 1.4723,                 1.8883,                0.52483,                0.74062,                0.67927,                0.35705,                 1.9162,                 1.3453,                  1.986,             0.00063125,             0.00063125,             0.00063125
                    102,                 1.8052,                 1.5003,                  1.903,                0.68872,                0.58712,                0.67551,                0.32792,                 2.1075,                 1.4264,                 2.0697,             0.00062506,             0.00062506,             0.00062506
                    103,                 1.8449,                 1.5253,                 1.9335,                0.61784,                0.65845,                0.65183,                0.29922,                 2.1919,                 1.4626,                 2.1424,             0.00061887,             0.00061887,             0.00061887
                    104,                 1.7724,                 1.4249,                 1.8328,                0.67233,                0.80636,                0.72972,                0.35851,                 1.9019,                 1.4136,                 1.9875,             0.00061269,             0.00061269,             0.00061269
                    105,                 1.7083,                 1.4569,                 1.8054,                0.64944,                0.69632,                0.71193,                  0.391,                 1.7886,                 1.3531,                 1.9285,              0.0006065,              0.0006065,              0.0006065
                    106,                 1.8082,                 1.5119,                 1.8837,                0.74261,                0.67172,                0.72461,                0.40617,                 1.7752,                 1.3387,                 1.9577,             0.00060031,             0.00060031,             0.00060031
                    107,                 1.6315,                 1.3546,                 1.8086,                0.68296,                0.66667,                0.71445,                0.39221,                 1.8262,                 1.3618,                 1.9642,             0.00059413,             0.00059413,             0.00059413
                    108,                 1.6563,                 1.4549,                 1.9083,                 0.6243,                0.67494,                0.66431,                0.33321,                 1.9498,                 1.6023,                 1.8596,             0.00058794,             0.00058794,             0.00058794
                    109,                 1.6825,                 1.4416,                  1.792,                 0.5545,                0.77083,                0.64769,                0.35228,                 1.8452,                 1.5852,                  1.911,             0.00058175,             0.00058175,             0.00058175
                    110,                 1.7743,                 1.4857,                  1.844,                 0.6611,                0.71056,                 0.7198,                0.35883,                   1.89,                 1.5414,                 1.9056,             0.00057556,             0.00057556,             0.00057556
                    111,                  1.637,                 1.3555,                 1.8222,                0.70824,                 0.5625,                0.66372,                0.25993,                 2.1587,                 1.6896,                 1.9607,             0.00056938,             0.00056938,             0.00056938
                    112,                 1.7459,                 1.5004,                 1.8972,                0.68873,                0.67784,                 0.7429,                0.30885,                 2.0848,                 1.5919,                 2.0416,             0.00056319,             0.00056319,             0.00056319
                    113,                 1.7391,                 1.4121,                 1.8066,                 0.6511,                0.73925,                0.70931,                0.32811,                  1.901,                 1.7352,                 1.9568,               0.000557,               0.000557,               0.000557
                    114,                 1.7441,                 1.4675,                 1.8259,                0.70772,                0.66362,                0.67045,                 0.3713,                 1.8549,                 1.8839,                  1.944,             0.00055081,             0.00055081,             0.00055081
                    115,                  1.814,                 1.4874,                 1.8828,                0.74782,                0.55196,                0.63908,                0.34302,                 1.8879,                 1.6653,                 1.9378,             0.00054463,             0.00054463,             0.00054463
                    116,                 1.7228,                 1.4548,                 1.8267,                0.61405,                  0.563,                0.61966,                0.32544,                 1.8326,                 1.5385,                 1.9026,             0.00053844,             0.00053844,             0.00053844
                    117,                 1.6367,                 1.3547,                 1.7984,                0.69784,                0.63244,                0.68603,                0.33672,                 1.8988,                 1.4974,                 1.9144,             0.00053225,             0.00053225,             0.00053225
                    118,                 1.7375,                 1.4574,                  1.844,                0.65363,                0.79405,                0.78755,                0.37812,                 1.9132,                 1.4683,                  1.901,             0.00052606,             0.00052606,             0.00052606
                    119,                 1.6924,                 1.3715,                 1.7966,                0.69522,                0.73959,                0.78626,                0.39257,                 1.8473,                 1.4723,                 1.8631,             0.00051988,             0.00051988,             0.00051988
                    120,                  1.672,                 1.3511,                  1.736,                0.68658,                0.82994,                0.76225,                0.41323,                  1.814,                 1.4351,                 1.8555,             0.00051369,             0.00051369,             0.00051369
