                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0727,                0.80773,                 1.1423,                0.70872,                0.77083,                0.80874,                0.48298,                 1.3962,                 1.1712,                 1.4458,             0.00094681,             0.00094681,             0.00094681
                     51,                 1.0166,                0.77566,                 1.1203,                0.62961,                0.64583,                0.68221,                 0.3877,                 1.5075,                  1.386,                 1.4753,             0.00094062,             0.00094062,             0.00094062
                     52,                0.97819,                0.74706,                 1.1072,                0.62452,                 0.8532,                0.84482,                  0.545,                   1.29,                 1.1152,                 1.3934,             0.00093444,             0.00093444,             0.00093444
                     53,                0.96953,                0.77102,                 1.1077,                0.83586,                0.72802,                0.88931,                0.55069,                 1.3433,                 1.1183,                 1.3706,             0.00092825,             0.00092825,             0.00092825
                     54,                0.97068,                0.75391,                  1.118,                0.80894,                 0.7615,                0.88966,                 0.5746,                 1.2952,                 1.0406,                 1.3529,             0.00092206,             0.00092206,             0.00092206
                     55,                 0.9452,                0.74168,                 1.1046,                0.71246,                0.82294,                0.86075,                0.55067,                 1.2446,                 1.0136,                  1.343,             0.00091588,             0.00091588,             0.00091588
                     56,                0.96399,                0.72501,                 1.1169,                0.92137,                0.75774,                0.91638,                0.58021,                 1.1982,                0.91114,                 1.2983,             0.00090969,             0.00090969,             0.00090969
                     57,                0.94322,                 0.7285,                 1.0737,                0.80565,                0.89365,                0.95295,                0.63731,                 1.1791,                0.85354,                 1.3161,              0.0009035,              0.0009035,              0.0009035
                     58,                0.95258,                0.69769,                 1.0645,                0.77901,                0.87705,                0.92057,                0.60314,                 1.1932,                0.93485,                   1.39,             0.00089731,             0.00089731,             0.00089731
                     59,                0.94757,                0.74103,                 1.0903,                0.87283,                 0.8125,                0.91691,                0.59367,                 1.1988,                0.98673,                 1.4662,             0.00089112,             0.00089112,             0.00089112
                     60,                0.95154,                0.70403,                 1.0817,                0.79996,                0.86854,                0.91445,                 0.6128,                 1.1932,                0.92269,                 1.3892,             0.00088494,             0.00088494,             0.00088494
                     61,                0.90437,                0.70273,                 1.0798,                0.90588,                0.85417,                0.93051,                0.62608,                 1.2243,                0.81954,                 1.3968,             0.00087875,             0.00087875,             0.00087875
                     62,                0.91141,                0.69226,                 1.0823,                0.88126,                 0.9375,                0.93883,                0.62844,                 1.2854,                 0.7692,                 1.4247,             0.00087256,             0.00087256,             0.00087256
                     63,                0.94254,                0.71173,                 1.1107,                0.88925,                0.93852,                0.96511,                0.65062,                 1.2503,                0.72724,                 1.3764,             0.00086637,             0.00086637,             0.00086637
                     64,                0.93615,                0.71561,                 1.0859,                0.84899,                0.95796,                0.96605,                0.64651,                  1.269,                0.76306,                 1.4237,             0.00086019,             0.00086019,             0.00086019
                     65,                0.92245,                0.70911,                 1.0873,                0.91415,                0.87051,                 0.9588,                0.62629,                 1.2837,                0.82884,                 1.4562,               0.000854,               0.000854,               0.000854
                     66,                0.94255,                0.69056,                 1.0557,                0.86638,                0.86886,                0.94495,                 0.6303,                 1.2209,                0.83072,                 1.4362,             0.00084781,             0.00084781,             0.00084781
                     67,                0.90351,                0.66693,                 1.0481,                0.83947,                0.97204,                0.95231,                0.65657,                 1.1463,                0.81751,                 1.3794,             0.00084162,             0.00084162,             0.00084162
                     68,                0.89872,                  0.631,                 1.0566,                0.89981,                0.95083,                0.96667,                0.65648,                 1.0666,                0.80071,                 1.3076,             0.00083544,             0.00083544,             0.00083544
